dataset,n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,pulsed_train_loss,pulsed_acc_train,pulsed_acc_test,pulsed_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr
digits,2,1,0,0.2317678902615728,0.638,0.644,0.05,0.1316226338826768,0.782,0.728,0.0027190650700768,0.2440726559043354,0.61,0.632,0.0003053984965605
digits,2,8,1,0.1037435149338773,0.874,0.82,0.05,0.08044451351602,0.91,0.876,0.0001688371861538,0.122951912485674,0.826,0.78,0.0002073085580825
digits,2,8,0,0.0862022524375063,0.9,0.904,0.05,0.0644812685594311,0.932,0.924,0.0005767123748152,0.1192568433323336,0.852,0.868,0.0004002533372847
digits,2,7,4,0.1078534852992781,0.862,0.8,0.05,0.0597098181041944,0.93,0.944,0.0006118556567957,0.1211136957201529,0.846,0.852,0.0001592060427869
digits,2,7,3,0.1332996313951927,0.834,0.744,0.05,0.0800844318514706,0.926,0.912,0.000263290364665,0.1551299701706271,0.796,0.7,0.0003580578813553
digits,2,7,2,0.1306118159216056,0.826,0.808,0.05,0.0726389915120882,0.914,0.9,0.0002158244581495,0.1429242253554288,0.804,0.772,0.0002835136862545
digits,2,7,1,0.0912870884159891,0.9,0.868,0.05,0.0710707997688678,0.928,0.888,0.00018019714599,0.1189477669143789,0.842,0.812,0.0002295154807297
digits,2,7,0,0.1051194134592261,0.868,0.88,0.05,0.0658135709696031,0.936,0.932,0.0002721508559793,0.119732908664416,0.844,0.832,0.0001975004766684
digits,2,6,4,0.1063333085843752,0.86,0.868,0.05,0.0684703023421154,0.928,0.936,0.0002145678101061,0.1064826683181957,0.858,0.852,0.0005312297494478
digits,2,6,3,0.1468487956905122,0.798,0.748,0.05,0.0825235402250738,0.916,0.908,0.0003448015636167,0.1531119124033378,0.792,0.724,0.0002458595974587
digits,2,6,2,0.1327732713935223,0.834,0.788,0.05,0.0789047850305788,0.918,0.896,0.0005375683938897,0.1499467156092174,0.784,0.736,0.0002110305051544
digits,2,6,1,0.100233410085686,0.874,0.816,0.05,0.069149916848192,0.93,0.912,0.0004172114227597,0.1195599686931129,0.854,0.816,0.0004687319277494
digits,2,6,0,0.1075041115208194,0.872,0.832,0.05,0.0719984685375964,0.924,0.916,0.0004716954750419,0.1203300678677113,0.846,0.856,0.0002929998520562
digits,2,5,4,0.104066768029898,0.874,0.844,0.05,0.0564965645905164,0.928,0.912,0.0005650203894384,0.1157162952188326,0.858,0.832,0.0003354940554724
digits,2,5,3,0.152270467944435,0.788,0.748,0.05,0.0799059356101467,0.91,0.904,0.0004675730877043,0.1599057064417957,0.772,0.72,0.000165016546613
digits,2,5,2,0.1385424599345343,0.814,0.764,0.05,0.0793120141592843,0.902,0.868,0.0002727680816162,0.1518597463584171,0.794,0.716,0.0006317990551601
digits,2,5,1,0.1125749186846941,0.866,0.832,0.05,0.0723941756614578,0.924,0.872,0.0003052455856149,0.1265278852796896,0.842,0.8,0.0005191425828626
digits,2,4,4,0.1136654878174494,0.854,0.852,0.05,0.071367252375107,0.918,0.908,0.000911350076471,0.1264838058130236,0.84,0.764,0.0001279537007011
digits,1,8,4,0.1185865813067016,0.842,0.796,0.05,0.0790090999014156,0.904,0.904,6.851690181044427e-05,0.1430402669689691,0.828,0.752,0.0007788859990678
digits,1,5,0,0.1371162846451689,0.818,0.804,0.05,0.0914623470574515,0.902,0.892,0.000875873146935,0.1350692487719912,0.816,0.804,0.0007900071005722
digits,1,8,2,0.1555284185810711,0.778,0.772,0.05,0.0988416776236363,0.872,0.86,0.0009428796831409,0.1648715592434456,0.786,0.724,8.297291203600647e-05
digits,1,3,4,0.1860605044004675,0.744,0.752,0.05,0.10569591132152,0.886,0.864,0.0019227579891642,0.1797314121471879,0.752,0.784,0.0006580992395883
digits,1,3,3,0.184526333316132,0.742,0.704,0.05,0.1350076445732662,0.808,0.848,0.000489193749125,0.1806630137717285,0.756,0.732,0.0008707942874448
digits,1,3,2,0.1846564996328678,0.752,0.748,0.05,0.111452689839567,0.852,0.82,0.0025741245072268,0.167568396766279,0.76,0.764,0.000782930462482
digits,1,3,1,0.1562726034806704,0.796,0.796,0.05,0.1078653761292184,0.878,0.884,0.0011796662008123,0.1423503385664118,0.828,0.768,0.000860733685986
digits,1,3,0,0.143400238521812,0.798,0.788,0.05,0.09050741039435,0.896,0.912,0.0007258580741103,0.1307625162906603,0.826,0.832,0.0028874866987927
digits,1,2,4,0.1654991368719344,0.814,0.848,0.05,0.1018320667945531,0.888,0.916,0.0030343885437304,0.2007480691390797,0.762,0.74,0.0001254152720166
digits,1,2,3,0.1734592885084122,0.772,0.76,0.05,0.1322850140971878,0.824,0.804,0.0024512941590147,0.1756969780540035,0.764,0.736,0.0015067407400718
digits,1,4,0,0.1415569012647091,0.814,0.816,0.05,0.1165201379867182,0.844,0.86,0.0021681059770356,0.1666091091639055,0.762,0.78,0.0007675391140382
digits,1,2,2,0.1889185153373645,0.724,0.724,0.05,0.1231738716682356,0.828,0.82,0.0129732912517044,0.1915833819419605,0.724,0.732,0.0004057250595794
digits,1,2,0,0.1583185054050869,0.81,0.812,0.05,0.0941268989506516,0.876,0.864,0.0028269840677924,0.1739916139559054,0.746,0.756,0.0012005740343275
